player_name,position,avg_points,team
A.J. Barner,TE,3.5,SEA
A.J. Brown,WR,10.6,PHI
A.T. Perry,WR,6.1,NO
AJ Dillon,RB,6.4,GB
AJ McCarron,QB,0.4,CIN
Aaron Jones,RB,11.2,MIN
Aaron Rodgers,QB,14.3,NYJ
Aaron Shampklin,RB,0.6,PIT
Adam Thielen,WR,8.1,CAR
Adam Trautman,TE,2.3,DEN
Adonai Mitchell,WR,1.8,IND
Aidan O'Connell,QB,11.0,LV
Ainias Smith,WR,3.6,PHI
Albert Okwuegbunam,TE,0.0,PHI
Alec Pierce,WR,5.7,IND
Alex Armah,RB,0.4,WAS
Alex Bachman,WR,3.1,LV
Alex Erickson,WR,3.6,LAC
Alexander Mattison,RB,6.8,LV
Allen Lazard,WR,5.0,NYJ
Allen Robinson,WR,1.5,DET
Alvin Kamara,RB,13.2,NO
Amari Cooper,WR,7.6,BUF
Amari Rodgers,WR,0.0,IND
Ameer Abdullah,RB,3.7,LV
Amon-Ra St. Brown,WR,12.4,DET
Andrei Iosivas,WR,4.6,CIN
Andrew Ogletree,TE,2.1,IND
Andy Dalton,QB,10.3,CAR
Andy Isabella,WR,0.0,BUF
Anthony Firkser,TE,0.8,DET
Anthony Gould,WR,2.3,IND
Anthony McFarland,RB,1.1,PIT
Anthony Miller,WR,1.5,BAL
Anthony Richardson,QB,15.7,IND
Antoine Green,WR,0.1,DET
Antonio Gibson,RB,4.8,NE
Ashton Dulin,WR,1.9,IND
Audric Estime,RB,3.4,DEN
Austin Ekeler,RB,8.5,WAS
Austin Hooper,TE,2.6,NE
Austin Trammell,WR,2.3,JAX
Bailey Zappe,QB,6.9,CLE
Baker Mayfield,QB,19.1,TB
Bam Knight,RB,1.0,DET
Baylor Cupp,TE,0.0,KC
Ben Sims,TE,1.2,GB
Ben Sinnott,TE,2.2,WAS
Ben Skowronek,WR,1.5,PIT
Bijan Robinson,RB,13.8,ATL
Blaine Gabbert,QB,3.0,KC
Blake Bell,TE,1.1,KC
Blake Corum,RB,1.9,LA
Blake Watson,RB,2.3,DEN
Blake Whiteheart,TE,1.6,CLE
Bo Melton,WR,3.0,GB
Bo Nix,QB,18.3,DEN
Boston Scott,RB,1.4,PHI
Braelon Allen,RB,3.9,NYJ
Brandin Cooks,WR,6.2,DAL
Brandon Aiyuk,WR,8.9,SF
Brandon Allen,QB,2.1,SF
Brandon Bolden,RB,3.7,LV
Brandon Johnson,WR,5.0,PIT
Brandon Powell,WR,2.4,MIN
Braxton Berrios,WR,1.8,MIA
Brayden Willis,TE,0.0,SF
Breece Hall,RB,12.1,NYJ
Brenden Bates,TE,0.0,CLE
Brenton Strange,TE,3.2,JAX
Brett Rypien,QB,3.4,LA
Brevin Jordan,TE,3.7,HOU
Brevyn Spann-Ford,TE,1.5,DAL
Brian Hoyer,QB,2.5,LV
Brian Robinson,RB,10.3,WAS
Brian Thomas,WR,11.6,JAX
Britain Covey,WR,1.5,PHI
British Brooks,RB,0.2,HOU
Brock Bowers,TE,8.9,LV
Brock Purdy,QB,18.0,SF
Brock Wright,TE,2.1,DET
Bryce Ford-Wheaton,WR,6.0,NYG
Bryce Oliver,WR,1.9,TEN
Bryce Young,QB,11.7,CAR
Brycen Hopkins,TE,2.0,LA
Brycen Tremayne,WR,-0.2,WAS
Bub Means,WR,4.4,NO
Bucky Irving,RB,11.8,TB
Byron Pringle,WR,1.3,WAS
C.J. Beathard,QB,3.6,JAX
C.J. Stroud,QB,15.5,HOU
C.J. Uzomah,TE,1.7,NYJ
Cade Otton,TE,5.3,TB
Cade Stover,TE,1.6,HOU
Caleb Williams,QB,15.0,CHI
Calvin Austin,WR,4.8,PIT
Calvin Austin III,WR,2.8,PIT
Calvin Ridley,WR,8.5,TEN
Cam Akers,RB,5.2,MIN
Cam Grandy,TE,0.7,CIN
Carson Steele,RB,1.4,KC
Carson Wentz,QB,10.3,KC
Case Keenum,QB,4.9,HOU
Casey Washington,WR,0.7,ATL
Cedric Tillman,WR,3.7,CLE
Cedrick Wilson,WR,3.2,NO
Cedrick Wilson Jr.,WR,4.3,MIA
CeeDee Lamb,WR,13.5,DAL
Charlie Jones,WR,2.9,CIN
Charlie Kolar,TE,2.5,BAL
Charlie Woerner,TE,0.7,ATL
Chase Brown,RB,9.2,CIN
Chase Claypool,WR,2.0,MIA
Chase Edmonds,RB,2.1,TB
Chig Okonkwo,TE,3.5,TEN
Chigoziem Okonkwo,TE,3.8,TEN
Chris Blair,WR,0.8,ATL
Chris Brooks,RB,3.5,MIA
Chris Collier,RB,0.4,LV
Chris Conley,WR,1.8,SF
Chris Evans,RB,1.1,CIN
Chris Godwin,WR,8.8,TB
Chris Manhertz,TE,1.3,NYG
Chris Moore,WR,3.1,TEN
Chris Oladokun,QB,0.5,KC
Chris Olave,WR,7.9,NO
Chris Rodriguez,RB,5.1,WAS
Chris Rodriguez Jr.,RB,4.5,WAS
Christian Kirk,WR,6.9,JAX
Christian McCaffrey,RB,18.6,SF
Christian Watson,WR,6.1,GB
Christopher Brooks,RB,2.7,GB
Chuba Hubbard,RB,10.7,CAR
Clayton Tune,QB,0.5,ARI
Clyde Edwards-Helaire,RB,3.1,NO
Cody Schrader,RB,0.9,LA
Cody Thompson,WR,1.0,SEA
Cody White,WR,4.4,SEA
Colby Parkinson,TE,2.6,LA
Cole Fotheringham,TE,0.6,LV
Cole Kmet,TE,6.3,CHI
Cole Turner,TE,1.7,WAS
Collin Johnson,WR,0.6,CHI
Colton Dowell,WR,0.2,TEN
Connor Heyward,TE,1.6,PIT
Cooper Kupp,WR,8.3,LA
Cooper Rush,QB,5.9,DAL
Cordarrelle Patterson,RB,2.1,PIT
Courtland Sutton,WR,9.0,DEN
Craig Reynolds,RB,3.6,DET
Curtis Samuel,WR,4.5,BUF
D'Andre Swift,RB,10.0,CHI
D'Ernest Johnson,RB,1.8,JAX
D'Onta Foreman,RB,5.6,CLE
D'Wayne Eskridge,WR,1.5,MIA
D.J. Chark,WR,2.0,LAC
D.J. Montgomery,WR,5.8,IND
D.J. Moore,WR,8.2,CHI
D.J. Turner,WR,3.1,LV
DJ Chark,WR,5.8,CAR
DJ Moore,WR,11.2,CHI
DK Metcalf,WR,9.2,SEA
Dak Prescott,QB,18.8,DAL
Dallas Goedert,TE,6.1,PHI
Dallin Holker,TE,1.0,NO
Dalton Kincaid,TE,4.6,BUF
Dalton Schultz,TE,5.0,HOU
Dalvin Cook,RB,1.8,DAL
Dameon Pierce,RB,4.5,HOU
Damien Harris,RB,2.8,BUF
Damien Williams,RB,1.8,ARI
Damiere Byrd,WR,0.0,ATL
Dan Chisena,WR,1.2,CAR
Daniel Bellinger,TE,1.9,NYG
Daniel Jones,QB,12.0,NYG
Dante Pettis,WR,2.5,NO
Dare Ogunbowale,RB,1.9,HOU
Dareke Young,WR,0.0,SEA
Darius Slayton,WR,5.2,NYG
Darnell Mooney,WR,5.9,ATL
Darnell Washington,TE,1.4,PIT
Darrell Henderson,RB,8.4,LA
Darren Waller,TE,5.1,NYG
Darrynton Evans,RB,3.3,CHI
Davante Adams,WR,10.3,NYJ
David Bell,WR,3.9,CLE
David Martin-Robinson,TE,0.3,TEN
David Montgomery,RB,13.0,DET
David Moore,WR,3.7,CAR
David Njoku,TE,7.6,CLE
David Wells,TE,-1.0,TB
Davis Allen,TE,2.5,LA
Davis Mills,QB,2.7,HOU
Dawson Knox,TE,2.8,BUF
De'Von Achane,RB,13.9,MIA
DeAndre Carter,WR,1.0,CHI
DeAndre Hopkins,WR,7.0,KC
DeVante Parker,WR,3.0,NE
DeVonta Smith,WR,9.3,PHI
Dee Eskridge,WR,0.2,SEA
DeeJay Dallas,RB,1.4,ARI
Deebo Samuel,WR,7.5,SF
Deebo Samuel Sr.,WR,11.1,SF
Demarcus Robinson,WR,6.0,LA
Demario Douglas,WR,4.7,NE
Deon Jackson,RB,-0.5,NYG
Deonte Harty,WR,2.2,BUF
Derek Carr,QB,14.5,NO
Derius Davis,WR,1.9,LAC
Derrick Gore,RB,1.3,WAS
Derrick Henry,RB,16.1,BAL
Deshaun Watson,QB,12.6,CLE
Desmond Ridder,QB,10.1,LV
Deuce Vaughn,RB,1.5,DAL
Devaughn Vele,WR,4.7,DEN
Deven Thompkins,WR,1.2,CAR
Devin Culp,TE,4.4,TB
Devin Duvernay,WR,0.7,JAX
Devin Singletary,RB,6.9,NYG
Devine Ozigbo,RB,1.3,DET
Devon Achane,RB,13.1,MIA
Devontez Walker,WR,4.0,BAL
Diontae Johnson,WR,6.5,HOU
Donald Parham,TE,4.0,LAC
Donovan Peoples-Jones,WR,1.3,DET
Dontayvion Wicks,WR,4.7,GB
Dorian Thompson-Robinson,QB,2.9,CLE
Drake London,WR,8.7,ATL
Drake Maye,QB,13.6,NE
Drew Lock,QB,9.9,NYG
Drew Sample,TE,1.8,CIN
Durham Smythe,TE,1.6,MIA
Dyami Brown,WR,2.8,WAS
Dylan Laube,RB,-2.0,LV
E.J. Jenkins,TE,3.4,PHI
Easton Stick,QB,13.5,LAC
Elijah Cooks,WR,1.9,JAX
Elijah Dotson,RB,1.9,LAC
Elijah Higgins,TE,2.2,ARI
Elijah Mitchell,RB,3.8,SF
Elijah Moore,WR,3.9,CLE
Emanuel Wilson,RB,4.1,GB
Emari Demercado,RB,3.8,ARI
Equanimeous St. Brown,WR,1.2,CHI
Eric Gray,RB,1.1,NYG
Eric Saubert,TE,1.5,SF
Eric Tomlinson,TE,0.2,LAC
Erick All,TE,2.0,CIN
Erik Ezukanma,WR,0.7,MIA
Evan Engram,TE,6.1,JAX
Evan Hull,RB,0.7,IND
Ezekiel Elliott,RB,5.3,DAL
Feleipe Franks,TE,0.4,CAR
Foster Moreau,TE,3.7,NO
Gabe Davis,WR,6.0,JAX
Gardner Minshew,QB,11.3,LV
Garrett Wilson,WR,7.9,NYJ
Gary Brightwell,RB,2.2,NYG
Geno Smith,QB,15.4,SEA
Geoff Swaim,TE,1.3,CLE
George Holani,RB,0.4,SEA
George Kittle,TE,9.2,SF
George Pickens,WR,8.2,PIT
Gerald Everett,TE,2.7,CHI
Giovanni Ricci,TE,0.2,CAR
Grant Calcaterra,TE,2.5,PHI
Grant DuBose,WR,0.6,MIA
Greg Dortch,WR,3.6,ARI
Greg Dulcich,TE,1.1,DEN
Gunner Olszewski,WR,2.0,NYG
Gus Edwards,RB,7.9,LAC
Harrison Bryant,TE,2.1,LV
Hassan Haskins,RB,2.5,LAC
Hayden Hurst,TE,2.0,LAC
Hendon Hooker,QB,0.9,DET
Hunter Henry,TE,5.4,NE
Hunter Long,TE,1.7,LA
Hunter Renfrow,WR,1.8,LV
Ian Thomas,TE,0.6,CAR
Ihmir Smith-Marsette,WR,3.8,NYG
Irv Smith,TE,1.6,HOU
Irvin Charles,WR,0.0,NYJ
Isaac Guerendo,RB,6.2,SF
Isaiah Davis,RB,4.1,NYJ
Isaiah Hodgins,WR,2.5,NYG
Isaiah Likely,TE,5.7,BAL
Isaiah McKenzie,WR,1.1,IND
Isaiah Spiller,RB,1.4,LAC
Isaiah Williams,WR,0.6,DET
Isiah Pacheco,RB,9.8,KC
Israel Abanikanda,RB,1.9,NYJ
J.J. Taylor,RB,1.5,HOU
J.K. Dobbins,RB,11.5,LAC
Ja'Lynn Polk,WR,1.6,NE
Ja'Marr Chase,WR,13.3,CIN
Ja'Tavion Sanders,TE,2.7,CAR
JaMycal Hasty,RB,0.0,JAX
Jack Stoll,TE,0.7,PHI
Jacob Cowing,WR,2.9,SF
Jacob Kibodi,RB,3.9,CLE
Jacoby Brissett,QB,7.6,NE
Jaelon Darden,WR,0.6,CLE
Jahan Dotson,WR,3.3,PHI
Jaheim Bell,TE,0.7,NE
Jahmyr Gibbs,RB,15.6,DET
Jake Bobo,WR,2.2,SEA
Jake Browning,QB,13.0,CIN
Jake Ferguson,TE,5.6,DAL
Jake Funk,RB,2.2,IND
Jake Haener,QB,1.7,NO
Jakobi Meyers,WR,9.0,LV
Jaleel McLaughlin,RB,4.4,DEN
Jalen Brooks,WR,2.0,DAL
Jalen Coker,WR,5.5,CAR
Jalen Guyton,WR,2.1,LAC
Jalen Hurts,QB,21.2,PHI
Jalen McMillan,WR,7.3,TB
Jalen Nailor,WR,4.6,MIN
Jalen Reagor,WR,1.8,LAC
Jalen Tolbert,WR,4.6,DAL
Jalin Hyatt,WR,1.9,NYG
Jamaal Williams,RB,2.7,NO
Jamal Agnew,WR,3.3,JAX
Jamari Thrash,WR,0.4,CLE
Jameis Winston,QB,8.4,CLE
James Conner,RB,13.1,ARI
James Cook,RB,12.9,BUF
James Mitchell,TE,1.4,DET
James Proche,WR,0.5,CLE
James Robinson,RB,0.0,GB
Jameson Williams,WR,8.0,DET
Jamison Crowder,WR,3.4,WAS
Jamycal Hasty,RB,2.1,NE
Jared Goff,QB,17.7,DET
Jared Wayne,WR,0.0,HOU
Jared Wiley,TE,0.7,KC
Jaren Hall,QB,0.7,MIN
Jarrett Stidham,QB,6.8,DEN
Jase McClellan,RB,1.6,ATL
Jashaun Corbin,RB,1.3,NYG
Jason Brownlee,WR,2.9,NYJ
Jauan Jennings,WR,6.3,SF
Javon Baker,WR,0.3,NE
Javonte Williams,RB,7.1,DEN
Jaxon Smith-Njigba,WR,7.1,SEA
Jayden Daniels,QB,21.4,WAS
Jayden Reed,WR,8.4,GB
Jaylen Waddle,WR,7.4,MIA
Jaylen Warren,RB,6.7,PIT
Jaylen Wright,RB,1.8,MIA
Jeff Driskel,QB,13.9,CLE
Jeff Wilson,RB,2.8,MIA
Jeffery Wilson,RB,1.1,MIA
Jeremy McNichols,RB,3.9,WAS
Jeremy Ruckert,TE,1.1,NYJ
Jerick McKinnon,RB,4.7,KC
Jermaine Burton,WR,2.7,CIN
Jermaine Jackson,WR,-0.1,NO
Jermar Jefferson,RB,1.6,DET
Jerome Ford,RB,8.4,CLE
Jerry Jeudy,WR,7.2,CLE
Jesper Horsted,TE,0.4,LV
Jha'Quan Jackson,WR,0.2,TEN
Jimmy Garoppolo,QB,10.5,LA
Jimmy Graham,TE,5.6,NO
Joe Burrow,QB,19.3,CIN
Joe Flacco,QB,16.4,IND
Joe Milton,QB,19.2,NE
Joe Mixon,RB,13.7,HOU
John Bates,TE,0.9,WAS
